label,trades,net,win,loss,sl,be,tp3,sell,tp1,wr,avg,strike,side,moneyness,tf,med,best,worst
CE 25350 (ITM) DAILY-REAL,0,0.0,0,0,0,0,0,0,0,0.0,0.0,25350,CE,ITM,daily_real,,,
CE 25350 (ITM) 1H-IV,6,-20.01,2,4,3,2,0,1,2,33.3,-3.33,25350,CE,ITM,1h_iv,-6.25,7.5,-10.0
CE 25450 (ATM) DAILY-REAL,0,0.0,0,0,0,0,0,0,0,0.0,0.0,25450,CE,ATM,daily_real,,,
CE 25450 (ATM) 1H-IV,5,-17.5,2,3,3,2,0,0,2,40.0,-3.5,25450,CE,ATM,1h_iv,-10.0,7.5,-10.0
CE 25550 (OTM) DAILY-REAL,0,0.0,0,0,0,0,0,0,0,0.0,0.0,25550,CE,OTM,daily_real,,,
CE 25550 (OTM) 1H-IV,5,-17.5,2,3,3,2,0,0,2,40.0,-3.5,25550,CE,OTM,1h_iv,-10.0,7.5,-10.0
PE 25550 (ITM) DAILY-REAL,1,22.5,1,0,0,0,1,0,1,100.0,22.5,25550,PE,ITM,daily_real,22.5,22.5,22.5
PE 25550 (ITM) 1H-IV,6,42.5,5,1,1,4,1,0,5,83.3,7.08,25550,PE,ITM,1h_iv,7.5,22.5,-10.0
PE 25450 (ATM) DAILY-REAL,1,22.5,1,0,0,0,1,0,1,100.0,22.5,25450,PE,ATM,daily_real,22.5,22.5,22.5
PE 25450 (ATM) 1H-IV,6,37.5,5,1,1,4,1,0,5,83.3,6.25,25450,PE,ATM,1h_iv,6.25,22.5,-10.0
PE 25350 (OTM) DAILY-REAL,1,22.5,1,0,0,0,1,0,1,100.0,22.5,25350,PE,OTM,daily_real,22.5,22.5,22.5
PE 25350 (OTM) 1H-IV,5,65.0,5,0,0,3,2,0,5,100.0,13.0,25350,PE,OTM,1h_iv,7.5,22.5,5.0
