label,trades,net,win,loss,sl,be,tp3,sell,tp1,wr,avg,strike,side,moneyness,tf,med,best,worst,expiry
CE 25350 (ITM) 1H-IV,6,-20.01,2,4,3,2,0,1,2,33.3,-3.33,25350,CE,ITM,1h_iv,-6.25,7.5,-10.0,2025-07-31
CE 25450 (ATM) 1H-IV,5,-17.5,2,3,3,2,0,0,2,40.0,-3.5,25450,CE,ATM,1h_iv,-10.0,7.5,-10.0,2025-07-31
CE 25550 (OTM) 1H-IV,5,-17.5,2,3,3,2,0,0,2,40.0,-3.5,25550,CE,OTM,1h_iv,-10.0,7.5,-10.0,2025-07-31
PE 25550 (ITM) 1H-IV,6,42.5,5,1,1,4,1,0,5,83.3,7.08,25550,PE,ITM,1h_iv,7.5,22.5,-10.0,2025-07-31
PE 25450 (ATM) 1H-IV,6,37.5,5,1,1,4,1,0,5,83.3,6.25,25450,PE,ATM,1h_iv,6.25,22.5,-10.0,2025-07-31
PE 25350 (OTM) 1H-IV,5,65.0,5,0,0,3,2,0,5,100.0,13.0,25350,PE,OTM,1h_iv,7.5,22.5,5.0,2025-07-31
CE 24650 (ITM),6,25.0,5,1,1,5,0,0,5,83.3,4.17,24650,CE,ITM,1h_iv,,7.5,-10.0,2025-06-26
CE 24750 (ATM),6,22.5,5,1,1,5,0,0,5,83.3,3.75,24750,CE,ATM,1h_iv,,7.5,-10.0,2025-06-26
CE 24850 (OTM),6,22.5,5,1,1,5,0,0,5,83.3,3.75,24850,CE,OTM,1h_iv,,7.5,-10.0,2025-06-26
PE 24850 (ITM),5,-15.0,2,3,3,2,0,0,2,40.0,-3.0,24850,PE,ITM,1h_iv,,7.5,-10.0,2025-06-26
PE 24750 (ATM),5,-15.0,2,3,3,2,0,0,2,40.0,-3.0,24750,PE,ATM,1h_iv,,7.5,-10.0,2025-06-26
PE 24650 (OTM),5,-15.0,2,3,3,2,0,0,2,40.0,-3.0,24650,PE,OTM,1h_iv,,7.5,-10.0,2025-06-26
