tf,side,entry_time,exit_time,entry,exit,pnl,reason,hit_tp1,hit_tp2,strike,moneyness
1h,CE,2025-06-26 11:15:00+05:30,2025-06-26 12:15:00+05:30,443.5169467334017,443.5169467334017,5.0,BE/trail,True,False,25350,ITM
1h,CE,2025-06-27 10:15:00+05:30,2025-06-27 12:15:00+05:30,602.6931886335951,607.6931886335951,7.5,BE/trail,True,True,25350,ITM
1h,CE,2025-06-30 11:15:00+05:30,2025-06-30 12:15:00+05:30,567.9486469676049,557.9486469676049,-10.0,SL,False,False,25350,ITM
1h,CE,2025-07-01 13:15:00+05:30,2025-07-01 14:15:00+05:30,536.3873780574086,526.3873780574086,-10.0,SL,False,False,25350,ITM
1h,CE,2025-07-08 14:15:00+05:30,2025-07-08 15:15:00+05:30,462.8467780982228,452.8467780982228,-10.0,SL,False,False,25350,ITM
1h,CE,2025-07-23 13:15:00+05:30,2025-07-23 15:15:00+05:30,86.46122790527988,83.95608057753452,-2.5051473277453624,Confluence SELL,False,False,25350,ITM
1h,CE,2025-06-26 11:15:00+05:30,2025-06-26 12:15:00+05:30,386.668276775099,386.668276775099,5.0,BE/trail,True,False,25450,ATM
1h,CE,2025-06-27 10:15:00+05:30,2025-06-27 12:15:00+05:30,532.3171308413421,537.3171308413421,7.5,BE/trail,True,True,25450,ATM
1h,CE,2025-06-30 11:15:00+05:30,2025-06-30 12:15:00+05:30,502.73631054721045,492.73631054721045,-10.0,SL,False,False,25450,ATM
1h,CE,2025-07-01 13:15:00+05:30,2025-07-01 14:15:00+05:30,472.30347124824584,462.30347124824584,-10.0,SL,False,False,25450,ATM
1h,CE,2025-07-08 14:15:00+05:30,2025-07-08 15:15:00+05:30,395.8708955594557,385.8708955594557,-10.0,SL,False,False,25450,ATM
1h,CE,2025-06-26 11:15:00+05:30,2025-06-26 12:15:00+05:30,334.0577647132304,334.0577647132304,5.0,BE/trail,True,False,25550,OTM
1h,CE,2025-06-27 10:15:00+05:30,2025-06-27 12:15:00+05:30,468.0950745652681,473.0950745652681,7.5,BE/trail,True,True,25550,OTM
1h,CE,2025-06-30 11:15:00+05:30,2025-06-30 12:15:00+05:30,442.28994336375763,432.28994336375763,-10.0,SL,False,False,25550,OTM
1h,CE,2025-07-01 13:15:00+05:30,2025-07-01 14:15:00+05:30,411.0075655271685,401.0075655271685,-10.0,SL,False,False,25550,OTM
1h,CE,2025-07-08 14:15:00+05:30,2025-07-08 15:15:00+05:30,340.15307016153383,330.15307016153383,-10.0,SL,False,False,25550,OTM
daily,PE,2025-07-28 00:00:00,2025-07-29 00:00:00,842.6,877.6,22.5,TP3,True,True,25550,ITM
1h,PE,2025-07-10 14:15:00+05:30,2025-07-11 09:15:00+05:30,322.1876804122694,357.1876804122694,22.5,TP3,True,True,25550,ITM
1h,PE,2025-07-14 10:15:00+05:30,2025-07-14 11:15:00+05:30,483.29501891024483,488.29501891024483,7.5,BE/trail,True,True,25550,ITM
1h,PE,2025-07-18 10:15:00+05:30,2025-07-18 11:15:00+05:30,560.3637667679541,565.3637667679541,7.5,BE/trail,True,True,25550,ITM
1h,PE,2025-07-21 13:15:00+05:30,2025-07-21 14:15:00+05:30,516.0747946810079,521.0747946810079,7.5,BE/trail,True,True,25550,ITM
1h,PE,2025-07-22 14:15:00+05:30,2025-07-22 15:15:00+05:30,475.73552934088,465.73552934088,-10.0,SL,False,False,25550,ITM
1h,PE,2025-07-28 10:15:00+05:30,2025-07-28 11:15:00+05:30,726.326307941039,731.326307941039,7.5,BE/trail,True,True,25550,ITM
daily,PE,2025-07-28 00:00:00,2025-07-29 00:00:00,740.7,775.7,22.5,TP3,True,True,25450,ATM
1h,PE,2025-07-10 14:15:00+05:30,2025-07-11 09:15:00+05:30,268.94969134369967,303.94969134369967,22.5,TP3,True,True,25450,ATM
1h,PE,2025-07-14 10:15:00+05:30,2025-07-14 11:15:00+05:30,411.19463911353887,416.19463911353887,7.5,BE/trail,True,True,25450,ATM
1h,PE,2025-07-17 14:15:00+05:30,2025-07-17 15:15:00+05:30,345.7870776445816,345.7870776445816,5.0,BE/trail,True,False,25450,ATM
1h,PE,2025-07-21 13:15:00+05:30,2025-07-21 14:15:00+05:30,428.95245862520824,428.95245862520824,5.0,BE/trail,True,False,25450,ATM
1h,PE,2025-07-22 14:15:00+05:30,2025-07-22 15:15:00+05:30,386.58101041091504,376.58101041091504,-10.0,SL,False,False,25450,ATM
1h,PE,2025-07-28 10:15:00+05:30,2025-07-28 11:15:00+05:30,626.389411310156,631.389411310156,7.5,BE/trail,True,True,25450,ATM
daily,PE,2025-07-28 00:00:00,2025-07-29 00:00:00,644.4,679.4,22.5,TP3,True,True,25350,OTM
1h,PE,2025-07-10 14:15:00+05:30,2025-07-11 09:15:00+05:30,224.89776947557766,259.89776947557766,22.5,TP3,True,True,25350,OTM
1h,PE,2025-07-14 10:15:00+05:30,2025-07-14 11:15:00+05:30,351.58741417381316,356.58741417381316,7.5,BE/trail,True,True,25350,OTM
1h,PE,2025-07-17 14:15:00+05:30,2025-07-18 09:15:00+05:30,280.4230766850542,315.4230766850542,22.5,TP3,True,True,25350,OTM
1h,PE,2025-07-21 13:15:00+05:30,2025-07-21 14:15:00+05:30,346.34261775768755,346.34261775768755,5.0,BE/trail,True,False,25350,OTM
1h,PE,2025-07-28 10:15:00+05:30,2025-07-28 11:15:00+05:30,526.4525146793167,531.4525146793167,7.5,BE/trail,True,True,25350,OTM
