tf,side,entry_time,exit_time,entry,exit,pnl,reason,hit_tp1,hit_tp2,strike,moneyness,expiry
1h,CE,2025-06-26 11:15:00+05:30,2025-06-26 12:15:00+05:30,443.5169467334017,443.5169467334017,5.0,BE/trail,True,False,25350,ITM,2025-07-31
1h,CE,2025-06-27 10:15:00+05:30,2025-06-27 12:15:00+05:30,602.6931886335951,607.6931886335951,7.5,BE/trail,True,True,25350,ITM,2025-07-31
1h,CE,2025-06-30 11:15:00+05:30,2025-06-30 12:15:00+05:30,567.9486469676049,557.9486469676049,-10.0,SL,False,False,25350,ITM,2025-07-31
1h,CE,2025-07-01 13:15:00+05:30,2025-07-01 14:15:00+05:30,536.3873780574086,526.3873780574086,-10.0,SL,False,False,25350,ITM,2025-07-31
1h,CE,2025-07-08 14:15:00+05:30,2025-07-08 15:15:00+05:30,462.8467780982228,452.8467780982228,-10.0,SL,False,False,25350,ITM,2025-07-31
1h,CE,2025-07-23 13:15:00+05:30,2025-07-23 15:15:00+05:30,86.46122790527988,83.95608057753452,-2.5051473277453624,Confluence SELL,False,False,25350,ITM,2025-07-31
1h,CE,2025-06-26 11:15:00+05:30,2025-06-26 12:15:00+05:30,386.668276775099,386.668276775099,5.0,BE/trail,True,False,25450,ATM,2025-07-31
1h,CE,2025-06-27 10:15:00+05:30,2025-06-27 12:15:00+05:30,532.3171308413421,537.3171308413421,7.5,BE/trail,True,True,25450,ATM,2025-07-31
1h,CE,2025-06-30 11:15:00+05:30,2025-06-30 12:15:00+05:30,502.7363105472105,492.7363105472105,-10.0,SL,False,False,25450,ATM,2025-07-31
1h,CE,2025-07-01 13:15:00+05:30,2025-07-01 14:15:00+05:30,472.3034712482458,462.3034712482458,-10.0,SL,False,False,25450,ATM,2025-07-31
1h,CE,2025-07-08 14:15:00+05:30,2025-07-08 15:15:00+05:30,395.8708955594557,385.8708955594557,-10.0,SL,False,False,25450,ATM,2025-07-31
1h,CE,2025-06-26 11:15:00+05:30,2025-06-26 12:15:00+05:30,334.0577647132304,334.0577647132304,5.0,BE/trail,True,False,25550,OTM,2025-07-31
1h,CE,2025-06-27 10:15:00+05:30,2025-06-27 12:15:00+05:30,468.0950745652681,473.0950745652681,7.5,BE/trail,True,True,25550,OTM,2025-07-31
1h,CE,2025-06-30 11:15:00+05:30,2025-06-30 12:15:00+05:30,442.2899433637576,432.2899433637576,-10.0,SL,False,False,25550,OTM,2025-07-31
1h,CE,2025-07-01 13:15:00+05:30,2025-07-01 14:15:00+05:30,411.0075655271685,401.0075655271685,-10.0,SL,False,False,25550,OTM,2025-07-31
1h,CE,2025-07-08 14:15:00+05:30,2025-07-08 15:15:00+05:30,340.15307016153383,330.15307016153383,-10.0,SL,False,False,25550,OTM,2025-07-31
daily,PE,2025-07-28 00:00:00,2025-07-29 00:00:00,842.6,877.6,22.5,TP3,True,True,25550,ITM,2025-07-31
1h,PE,2025-07-10 14:15:00+05:30,2025-07-11 09:15:00+05:30,322.1876804122694,357.1876804122694,22.5,TP3,True,True,25550,ITM,2025-07-31
1h,PE,2025-07-14 10:15:00+05:30,2025-07-14 11:15:00+05:30,483.2950189102448,488.2950189102448,7.5,BE/trail,True,True,25550,ITM,2025-07-31
1h,PE,2025-07-18 10:15:00+05:30,2025-07-18 11:15:00+05:30,560.3637667679541,565.3637667679541,7.5,BE/trail,True,True,25550,ITM,2025-07-31
1h,PE,2025-07-21 13:15:00+05:30,2025-07-21 14:15:00+05:30,516.0747946810079,521.0747946810079,7.5,BE/trail,True,True,25550,ITM,2025-07-31
1h,PE,2025-07-22 14:15:00+05:30,2025-07-22 15:15:00+05:30,475.73552934088,465.73552934088,-10.0,SL,False,False,25550,ITM,2025-07-31
1h,PE,2025-07-28 10:15:00+05:30,2025-07-28 11:15:00+05:30,726.326307941039,731.326307941039,7.5,BE/trail,True,True,25550,ITM,2025-07-31
daily,PE,2025-07-28 00:00:00,2025-07-29 00:00:00,740.7,775.7,22.5,TP3,True,True,25450,ATM,2025-07-31
1h,PE,2025-07-10 14:15:00+05:30,2025-07-11 09:15:00+05:30,268.94969134369967,303.94969134369967,22.5,TP3,True,True,25450,ATM,2025-07-31
1h,PE,2025-07-14 10:15:00+05:30,2025-07-14 11:15:00+05:30,411.19463911353887,416.19463911353887,7.5,BE/trail,True,True,25450,ATM,2025-07-31
1h,PE,2025-07-17 14:15:00+05:30,2025-07-17 15:15:00+05:30,345.7870776445816,345.7870776445816,5.0,BE/trail,True,False,25450,ATM,2025-07-31
1h,PE,2025-07-21 13:15:00+05:30,2025-07-21 14:15:00+05:30,428.9524586252082,428.9524586252082,5.0,BE/trail,True,False,25450,ATM,2025-07-31
1h,PE,2025-07-22 14:15:00+05:30,2025-07-22 15:15:00+05:30,386.58101041091504,376.58101041091504,-10.0,SL,False,False,25450,ATM,2025-07-31
1h,PE,2025-07-28 10:15:00+05:30,2025-07-28 11:15:00+05:30,626.389411310156,631.389411310156,7.5,BE/trail,True,True,25450,ATM,2025-07-31
daily,PE,2025-07-28 00:00:00,2025-07-29 00:00:00,644.4,679.4,22.5,TP3,True,True,25350,OTM,2025-07-31
1h,PE,2025-07-10 14:15:00+05:30,2025-07-11 09:15:00+05:30,224.8977694755777,259.89776947557766,22.5,TP3,True,True,25350,OTM,2025-07-31
1h,PE,2025-07-14 10:15:00+05:30,2025-07-14 11:15:00+05:30,351.5874141738132,356.5874141738132,7.5,BE/trail,True,True,25350,OTM,2025-07-31
1h,PE,2025-07-17 14:15:00+05:30,2025-07-18 09:15:00+05:30,280.4230766850542,315.4230766850542,22.5,TP3,True,True,25350,OTM,2025-07-31
1h,PE,2025-07-21 13:15:00+05:30,2025-07-21 14:15:00+05:30,346.34261775768755,346.34261775768755,5.0,BE/trail,True,False,25350,OTM,2025-07-31
1h,PE,2025-07-28 10:15:00+05:30,2025-07-28 11:15:00+05:30,526.4525146793167,531.4525146793167,7.5,BE/trail,True,True,25350,OTM,2025-07-31
,CE,2025-06-06 10:15:00+05:30,2025-06-06 11:15:00+05:30,601.1283079055793,606.1283079055793,7.5,BE/trail,True,,24650,ITM,2025-06-26
,CE,2025-06-11 11:15:00+05:30,2025-06-11 12:15:00+05:30,700.2168195474442,700.2168195474442,5.0,BE/trail,True,,24650,ITM,2025-06-26
,CE,2025-06-20 10:15:00+05:30,2025-06-20 11:15:00+05:30,434.0896863242597,439.0896863242597,7.5,BE/trail,True,,24650,ITM,2025-06-26
,CE,2025-06-23 10:15:00+05:30,2025-06-23 11:15:00+05:30,372.1054869205036,377.1054869205036,7.5,BE/trail,True,,24650,ITM,2025-06-26
,CE,2025-06-24 11:15:00+05:30,2025-06-24 12:15:00+05:30,685.2900350661694,675.2900350661694,-10.0,SL,False,,24650,ITM,2025-06-26
,CE,2025-06-26 11:15:00+05:30,2025-06-26 12:15:00+05:30,749.3117239477651,754.3117239477651,7.5,BE/trail,True,,24650,ITM,2025-06-26
,CE,2025-06-06 10:15:00+05:30,2025-06-06 11:15:00+05:30,536.3042859524303,541.3042859524303,7.5,BE/trail,True,,24750,ATM,2025-06-26
,CE,2025-06-11 11:15:00+05:30,2025-06-11 12:15:00+05:30,618.5669485262915,618.5669485262915,5.0,BE/trail,True,,24750,ATM,2025-06-26
,CE,2025-06-20 10:15:00+05:30,2025-06-20 11:15:00+05:30,354.5990051984518,354.5990051984518,5.0,BE/trail,True,,24750,ATM,2025-06-26
,CE,2025-06-23 10:15:00+05:30,2025-06-23 11:15:00+05:30,295.24602470063473,300.24602470063473,7.5,BE/trail,True,,24750,ATM,2025-06-26
,CE,2025-06-24 11:15:00+05:30,2025-06-24 12:15:00+05:30,586.899130961734,576.899130961734,-10.0,SL,False,,24750,ATM,2025-06-26
,CE,2025-06-26 11:15:00+05:30,2025-06-26 12:15:00+05:30,649.495782531998,654.495782531998,7.5,BE/trail,True,,24750,ATM,2025-06-26
,CE,2025-06-06 10:15:00+05:30,2025-06-06 11:15:00+05:30,467.99232075459804,472.99232075459804,7.5,BE/trail,True,,24850,OTM,2025-06-26
,CE,2025-06-11 11:15:00+05:30,2025-06-11 12:15:00+05:30,543.4781730609939,543.4781730609939,5.0,BE/trail,True,,24850,OTM,2025-06-26
,CE,2025-06-20 10:15:00+05:30,2025-06-20 11:15:00+05:30,282.0774277121018,282.0774277121018,5.0,BE/trail,True,,24850,OTM,2025-06-26
,CE,2025-06-23 10:15:00+05:30,2025-06-23 11:15:00+05:30,223.71560945621968,228.71560945621968,7.5,BE/trail,True,,24850,OTM,2025-06-26
,CE,2025-06-24 11:15:00+05:30,2025-06-24 12:15:00+05:30,491.62069150696334,481.62069150696334,-10.0,SL,False,,24850,OTM,2025-06-26
,CE,2025-06-26 11:15:00+05:30,2025-06-26 12:15:00+05:30,549.6195082880477,554.6195082880477,7.5,BE/trail,True,,24850,OTM,2025-06-26
,PE,2025-05-30 10:15:00+05:30,2025-05-30 11:15:00+05:30,394.7088909592894,384.7088909592894,-10.0,SL,False,,24850,ITM,2025-06-26
,PE,2025-06-03 10:15:00+05:30,2025-06-03 11:15:00+05:30,463.93011452977044,453.93011452977044,-10.0,SL,False,,24850,ITM,2025-06-26
,PE,2025-06-12 13:15:00+05:30,2025-06-12 14:15:00+05:30,244.4813078780844,234.4813078780844,-10.0,SL,False,,24850,ITM,2025-06-26
,PE,2025-06-18 10:15:00+05:30,2025-06-18 11:15:00+05:30,214.56010743105617,219.56010743105617,7.5,BE/trail,True,,24850,ITM,2025-06-26
,PE,2025-06-19 14:15:00+05:30,2025-06-19 15:15:00+05:30,214.80222353872705,219.80222353872705,7.5,BE/trail,True,,24850,ITM,2025-06-26
,PE,2025-05-30 10:15:00+05:30,2025-05-30 11:15:00+05:30,352.2090543925424,342.2090543925424,-10.0,SL,False,,24750,ATM,2025-06-26
,PE,2025-06-03 10:15:00+05:30,2025-06-03 11:15:00+05:30,411.7245545138139,401.7245545138139,-10.0,SL,False,,24750,ATM,2025-06-26
,PE,2025-06-12 13:15:00+05:30,2025-06-12 14:15:00+05:30,201.6042107342164,191.6042107342164,-10.0,SL,False,,24750,ATM,2025-06-26
,PE,2025-06-18 10:15:00+05:30,2025-06-18 11:15:00+05:30,172.88126432004174,177.88126432004174,7.5,BE/trail,True,,24750,ATM,2025-06-26
,PE,2025-06-19 14:15:00+05:30,2025-06-19 15:15:00+05:30,172.32820694688417,177.32820694688417,7.5,BE/trail,True,,24750,ATM,2025-06-26
,PE,2025-05-30 10:15:00+05:30,2025-05-30 11:15:00+05:30,310.8673353137783,300.8673353137783,-10.0,SL,False,,24650,OTM,2025-06-26
,PE,2025-06-03 10:15:00+05:30,2025-06-03 11:15:00+05:30,366.47098567065586,356.47098567065586,-10.0,SL,False,,24650,OTM,2025-06-26
,PE,2025-06-12 13:15:00+05:30,2025-06-12 14:15:00+05:30,165.19901907085477,155.19901907085477,-10.0,SL,False,,24650,OTM,2025-06-26
,PE,2025-06-18 10:15:00+05:30,2025-06-18 11:15:00+05:30,139.24809505165285,144.24809505165285,7.5,BE/trail,True,,24650,OTM,2025-06-26
,PE,2025-06-19 14:15:00+05:30,2025-06-19 15:15:00+05:30,136.1240211055283,141.1240211055283,7.5,BE/trail,True,,24650,OTM,2025-06-26
