contract,side,strike,expiry,moneyness,trades,tp1,tp2,tp3,sl,net,avg,avg_calls_active_day
2025-05-29_CE_24250,CE,24250,2025-05-29,ITM,4,0,0,0,4,-72.0,-18.0,1.0
2025-05-29_CE_24300,CE,24300,2025-05-29,ITM,2,1,0,0,1,-8.0,-4.0,1.0
2025-05-29_CE_24350,CE,24350,2025-05-29,ATM,3,1,0,0,2,-26.0,-8.67,1.0
2025-05-29_CE_24400,CE,24400,2025-05-29,OTM,2,1,0,0,1,-8.0,-4.0,1.0
2025-05-29_CE_24450,CE,24450,2025-05-29,OTM,3,1,0,0,2,-26.0,-8.67,1.0
2025-05-29_PE_24250,PE,24250,2025-05-29,OTM,10,5,0,0,5,-40.0,-4.0,1.11
2025-05-29_PE_24300,PE,24300,2025-05-29,OTM,10,5,0,0,5,-40.0,-4.0,1.11
2025-05-29_PE_24350,PE,24350,2025-05-29,ATM,10,4,0,0,6,-68.0,-6.8,1.11
2025-05-29_PE_24400,PE,24400,2025-05-29,ITM,10,3,0,0,7,-96.0,-9.6,1.11
2025-05-29_PE_24450,PE,24450,2025-05-29,ITM,10,5,0,0,5,-40.0,-4.0,1.11
2025-06-26_CE_24650,CE,24650,2025-06-26,ITM,5,1,0,0,4,-62.0,-12.4,1.0
2025-06-26_CE_24700,CE,24700,2025-06-26,ITM,5,1,0,0,4,-62.0,-12.4,1.0
2025-06-26_CE_24750,CE,24750,2025-06-26,ATM,5,1,0,0,4,-62.0,-12.4,1.0
2025-06-26_CE_24800,CE,24800,2025-06-26,OTM,2,0,0,0,2,-36.0,-18.0,1.0
2025-06-26_CE_24850,CE,24850,2025-06-26,OTM,3,0,0,0,3,-54.0,-18.0,1.0
2025-06-26_PE_24650,PE,24650,2025-06-26,OTM,5,2,0,0,3,-34.0,-6.8,1.25
2025-06-26_PE_24700,PE,24700,2025-06-26,OTM,5,2,0,0,3,-34.0,-6.8,1.25
2025-06-26_PE_24750,PE,24750,2025-06-26,ATM,5,1,0,0,4,-62.0,-12.4,1.67
2025-06-26_PE_24800,PE,24800,2025-06-26,ITM,6,1,0,0,5,-80.0,-13.33,1.5
2025-06-26_PE_24850,PE,24850,2025-06-26,ITM,7,1,0,0,6,-98.0,-14.0,1.4
2025-07-31_PE_25350,PE,25350,2025-07-31,OTM,4,3,0,0,1,12.0,3.0,1.33
2025-07-31_PE_25400,PE,25400,2025-07-31,OTM,4,3,0,0,1,12.0,3.0,1.33
2025-07-31_PE_25450,PE,25450,2025-07-31,ATM,4,3,0,0,1,12.0,3.0,1.33
2025-07-31_PE_25500,PE,25500,2025-07-31,ITM,3,2,0,0,1,2.0,0.67,1.5
2025-07-31_PE_25550,PE,25550,2025-07-31,ITM,3,2,0,0,1,2.0,0.67,1.5
