contract,side,strike,expiry,moneyness,trades,tp1,tp2,tp3,sl,be_trail,net,avg,avg_calls_active_day
2025-05-29_CE_24250,CE,24250,2025-05-29,ITM,4,0,0,0,4,0,-72.0,-18.0,1.0
2025-05-29_CE_24300,CE,24300,2025-05-29,ITM,2,1,1,1,1,0,17.0,8.5,1.0
2025-05-29_CE_24350,CE,24350,2025-05-29,ATM,3,1,1,1,2,0,-1.0,-0.33,1.0
2025-05-29_CE_24400,CE,24400,2025-05-29,OTM,2,1,1,1,1,0,17.0,8.5,1.0
2025-05-29_CE_24450,CE,24450,2025-05-29,OTM,3,1,1,1,2,0,-1.0,-0.33,1.0
2025-05-29_PE_24250,PE,24250,2025-05-29,OTM,9,5,3,1,4,4,-27.0,-3.0,1.12
2025-05-29_PE_24300,PE,24300,2025-05-29,OTM,9,4,3,2,5,2,-15.0,-1.67,1.12
2025-05-29_PE_24350,PE,24350,2025-05-29,ATM,10,4,4,3,6,1,2.0,0.2,1.11
2025-05-29_PE_24400,PE,24400,2025-05-29,ITM,10,3,3,2,7,1,-51.0,-5.1,1.11
2025-05-29_PE_24450,PE,24450,2025-05-29,ITM,10,5,3,2,5,3,-15.0,-1.5,1.11
2025-06-26_CE_24650,CE,24650,2025-06-26,ITM,5,1,1,1,4,0,-37.0,-7.4,1.0
2025-06-26_CE_24700,CE,24700,2025-06-26,ITM,5,1,1,1,4,0,-37.0,-7.4,1.0
2025-06-26_CE_24750,CE,24750,2025-06-26,ATM,5,1,1,1,4,0,-37.0,-7.4,1.0
2025-06-26_CE_24800,CE,24800,2025-06-26,OTM,2,0,0,0,2,0,-36.0,-18.0,1.0
2025-06-26_CE_24850,CE,24850,2025-06-26,OTM,3,0,0,0,3,0,-54.0,-18.0,1.0
2025-06-26_PE_24650,PE,24650,2025-06-26,OTM,5,2,1,1,3,1,-19.0,-3.8,1.25
2025-06-26_PE_24700,PE,24700,2025-06-26,OTM,5,2,1,1,3,1,-19.0,-3.8,1.25
2025-06-26_PE_24750,PE,24750,2025-06-26,ATM,5,1,1,1,4,0,-37.0,-7.4,1.67
2025-06-26_PE_24800,PE,24800,2025-06-26,ITM,6,1,1,1,5,0,-55.0,-9.17,1.5
2025-06-26_PE_24850,PE,24850,2025-06-26,ITM,7,1,1,1,6,0,-73.0,-10.43,1.4
2025-07-31_PE_25350,PE,25350,2025-07-31,OTM,4,3,3,3,1,0,87.0,21.75,1.33
2025-07-31_PE_25400,PE,25400,2025-07-31,OTM,4,3,3,3,1,0,87.0,21.75,1.33
2025-07-31_PE_25450,PE,25450,2025-07-31,ATM,4,3,3,3,1,0,87.0,21.75,1.33
2025-07-31_PE_25500,PE,25500,2025-07-31,ITM,3,2,2,2,1,0,52.0,17.33,1.5
2025-07-31_PE_25550,PE,25550,2025-07-31,ITM,3,2,2,2,1,0,52.0,17.33,1.5
