variant,mode,tf,n,tp1,tp2,tp3,sl,tp3_exits,tp1_exits,be,net,avg,win_pct,avg_calls_active_day,atm_mean_calls_per_day,ce_n,pe_n,ce_net,pe_net,name,min_score,req7,req3
v1.1_score5_E7E3,runners,1h,80,33.0,31.0,28.0,47.0,28.0,0.0,5.0,149.0,1.86,38.8,1.0,0.141,19.0,61.0,-77.0,226.0,,,,
,runners,daily,0,,,,,,,,,,,,,,,,,v1.1_score5_E7E3,5.0,True,True
v1.1_score5_E7E3,lock,1h,81,34.0,0.0,0.0,47.0,0.0,34.0,0.0,-506.0,-6.25,42.0,1.0,0.141,19.0,62.0,-202.0,-304.0,,,,
,lock,daily,0,,,,,,,,,,,,,,,,,v1.1_score5_E7E3,5.0,True,True
score4_E7,runners,1h,207,70.0,55.0,44.0,137.0,44.0,0.0,26.0,-871.0,-4.21,26.6,1.07,0.33,90.0,117.0,-1196.0,325.0,,,,
,runners,daily,0,,,,,,,,,,,,,,,,,score4_E7,4.0,True,False
score4_E7,lock,1h,216,78.0,0.0,0.0,138.0,0.0,78.0,0.0,-1704.0,-7.89,36.1,1.07,0.34,90.0,126.0,-1396.0,-308.0,,,,
,lock,daily,0,,,,,,,,,,,,,,,,,score4_E7,4.0,True,False
score3_E7,runners,1h,214,74.0,59.0,48.0,140.0,48.0,0.0,26.0,-785.0,-3.67,27.6,1.06,0.345,94.0,120.0,-1215.0,430.0,,,,
,runners,daily,0,,,,,,,,,,,,,,,,,score3_E7,3.0,True,False
score3_E7,lock,1h,223,82.0,0.0,0.0,141.0,0.0,82.0,0.0,-1718.0,-7.7,36.8,1.06,0.354,94.0,129.0,-1440.0,-278.0,,,,
,lock,daily,0,,,,,,,,,,,,,,,,,score3_E7,3.0,True,False
score3_noGate,runners,1h,303,119.0,99.0,77.0,184.0,77.0,0.0,42.0,-507.0,-1.67,32.7,1.11,0.49,124.0,179.0,-1384.0,877.0,,,,
,runners,daily,0,,,,,,,,,,,,,,,,,score3_noGate,3.0,False,False
score3_noGate,lock,1h,303,120.0,0.0,0.0,183.0,0.0,120.0,0.0,-2094.0,-6.91,39.6,1.11,0.485,124.0,179.0,-1784.0,-310.0,,,,
,lock,daily,0,,,,,,,,,,,,,,,,,score3_noGate,3.0,False,False
