trades,profit_trades,loss_trades,sl_hits,tp1,tp2,tp3,engine_sell,net,win_rate,avg,profit_factor,days_tp1_ok,trading_days,engine
1081,467,614,365,664,354,149,567,2350.394447544643,43.20074005550416,2.1742779348239063,1.4378227685733198,58,58,E14 Round Premium Levels
322,120,202,138,238,168,109,75,1853.5425781249999,37.267080745341616,5.756343410326086,1.929765515371132,55,57,E3 VWAP Reclaim
330,129,201,165,244,170,105,60,1637.0517578124998,39.09090909090909,4.960762902462121,1.7574500345075725,57,58,E7 ATR Expansion Impulse
403,123,280,225,290,190,108,70,820.9267578125,30.521091811414394,2.037039101271712,1.2704443363619522,57,57,E5 Pullback Continuation
248,75,173,118,173,114,67,63,715.5813058035715,30.241935483870968,2.8854084911434335,1.4232534193481863,49,52,E8 RSI Regime
334,99,235,230,240,164,98,6,660.3986328125,29.64071856287425,1.9772414156062872,1.2370672752619034,55,57,E1 Swing Structure
614,169,445,443,461,296,168,3,555.5244140625,27.52442996742671,0.9047628893526058,1.1042915026489,58,58,E6 EMA Stack Momentum
38,16,22,16,30,20,16,6,324.4140625,42.10526315789474,8.537212171052632,2.377051898524291,19,24,E21 Bollinger Squeeze Break
185,57,128,118,136,81,48,19,293.42558593750005,30.81081081081081,1.586084248310811,1.2021535121158438,54,56,E13 Inside Bar Breakout
194,56,138,113,139,85,48,33,290.2714564732143,28.8659793814433,1.49624462099595,1.1979175538795568,50,52,E9 MACD Histogram
138,40,98,92,104,71,40,6,256.89941406249994,28.985507246376812,1.8615899569746372,1.2247391150200548,36,41,E15 Option CPR / Pivot
161,51,110,90,122,73,37,34,254.1810546875,31.677018633540374,1.5787643148291925,1.218859043190542,51,53,E12 Rejection Wick Sweep
215,65,150,119,155,96,48,48,240.80800781249985,30.232558139534884,1.1200372456395342,1.1539065039493452,50,52,E11 Engulf + Volume
114,34,80,78,91,61,31,5,147.32578124999995,29.82456140350877,1.2923314144736837,1.1558137344332513,49,52,E10 Supertrend
138,36,102,97,99,65,34,7,8.12382812500006,26.08695652173913,0.05886831974637725,1.0067888011059507,44,47,E2 Opening Range Breakout
76,18,58,58,55,36,18,0,-66.0,23.68421052631579,-0.868421052631579,0.9051724137931034,27,28,E4 Prev Day High/Low Break
341,85,256,231,250,150,77,33,-154.95136718749998,24.926686217008797,-0.4544028363269794,0.9468780845038808,57,57,E16 Donchian Channel Break
