trades,profit_trades,loss_trades,sl_hits,tp1,tp2,tp3,engine_sell,net,win_rate,avg,profit_factor,days_tp1_ok,trading_days,engine,symbol,side
49,8,41,39,24,12,7,3,-215.901171875,16.3265306122449,-4.4061463647959185,0.5473781101494282,20,36,E1 Swing Structure,Nifty,CE
29,4,25,22,13,6,2,5,-204.1513671875,13.793103448275861,-7.039702316810345,0.2934143353901565,12,21,E2 Opening Range Breakout,Nifty,CE
47,14,33,5,26,14,4,38,-23.496093750000014,29.78723404255319,-0.4999168882978726,0.8786028122168156,24,30,E3 VWAP Reclaim,Nifty,CE
6,2,4,4,4,3,2,0,22.000000000000007,33.333333333333336,3.666666666666668,1.4583333333333333,3,4,E4 Prev Day High/Low Break,Nifty,CE
51,13,38,16,21,16,4,31,-139.39882812500002,25.49019607843137,-2.7333103553921574,0.5794245536127302,18,35,E5 Pullback Continuation,Nifty,CE
74,9,65,63,36,21,9,2,-451.65078124999997,12.162162162162161,-6.10338893581081,0.4108780786558417,26,39,E6 EMA Stack Momentum,Nifty,CE
49,16,33,20,23,9,4,25,-116.1244140625,32.6530612244898,-2.36988600127551,0.6108084719756597,19,35,E7 ATR Expansion Impulse,Nifty,CE
38,8,30,2,18,9,3,33,-33.87519531249999,21.05263157894737,-0.8914525082236839,0.8022175138665888,15,26,E8 RSI Regime,Nifty,CE
35,7,28,12,18,9,2,21,-85.6759765625,20.0,-2.4478850446428573,0.5918749185910199,17,30,E9 MACD Histogram,Nifty,CE
19,3,16,15,9,3,1,3,-144.62421874999998,15.789473684210526,-7.611800986842105,0.22245043682795704,9,18,E10 Supertrend,Nifty,CE
35,9,26,13,11,4,1,21,-110.84804687499998,25.714285714285715,-3.167087053571428,0.4795198180517599,11,25,E11 Engulf + Volume,Nifty,CE
28,10,18,13,14,8,1,14,-39.95000000000001,35.714285714285715,-1.4267857142857145,0.7540775865592935,14,26,E12 Rejection Wick Sweep,Nifty,CE
31,8,23,19,19,10,4,8,-72.27402343750003,25.806451612903224,-2.3314201108870978,0.6996704062824897,18,28,E13 Inside Bar Breakout,Nifty,CE
184,80,104,10,38,7,0,174,-45.8953125,43.47826086956522,-0.24943104619565218,0.9009314344039229,27,52,E14 Round Premium Levels,Nifty,CE
21,4,17,12,13,6,4,5,-34.450390625000004,19.047619047619047,-1.6404947916666668,0.8025204156804965,13,18,E15 Option CPR / Pivot,Nifty,CE
48,8,40,24,28,10,4,20,-211.7505859375,16.666666666666668,-4.411470540364584,0.4401476672539757,24,33,E16 Donchian Channel Break,Nifty,CE
5,1,4,1,2,1,1,3,-0.22343750000000107,20.0,-0.04468750000000021,0.9936565674488754,2,5,E21 Bollinger Squeeze Break,Nifty,CE
44,10,34,31,25,19,10,3,-38.70019531249999,22.727272727272727,-0.879549893465909,0.9004369028387379,22,34,E1 Swing Structure,Nifty,PE
16,1,15,13,9,4,1,2,-128.7248046875,6.25,-8.04530029296875,0.21377335014571658,9,15,E2 Opening Range Breakout,Nifty,PE
43,8,35,8,22,13,7,28,-2.0273437500000107,18.6046511627907,-0.04714752906976769,0.991860604620636,20,33,E3 VWAP Reclaim,Nifty,PE
19,1,18,18,10,5,1,0,-181.0,5.2631578947368425,-9.526315789473685,0.16203703703703703,10,14,E4 Prev Day High/Low Break,Nifty,PE
56,12,44,18,31,17,6,32,-135.47636718749996,21.428571428571427,-2.4192208426339277,0.6336774895432847,25,35,E5 Pullback Continuation,Nifty,PE
69,15,54,54,48,31,14,1,-155.82480468749998,21.73913043478261,-2.2583305027173908,0.7595296223958333,32,38,E6 EMA Stack Momentum,Nifty,PE
