engine,symbol,side,entry_time,exit_time,entry,exit,pnl,reason,hit_tp1,hit_tp2,hit_tp3
E1 Swing Structure,Nifty,CE,2026-05-25 14:45:00+05:30,2026-05-26 09:15:00+05:30,55.875390625,43.875390625,-12.0,SL,True,False,False
E1 Swing Structure,Nifty,CE,2026-05-27 10:25:00+05:30,2026-05-27 10:40:00+05:30,56.3248046875,44.3248046875,-12.0,SL,False,False,False
E1 Swing Structure,Nifty,CE,2026-06-02 13:20:00+05:30,2026-06-02 14:20:00+05:30,132.7505859375,167.7505859375,35.0,TP3,True,True,True
E1 Swing Structure,Nifty,CE,2026-06-03 13:45:00+05:30,2026-06-03 13:50:00+05:30,78.525,66.525,-12.0,SL,False,False,False
E1 Swing Structure,Nifty,CE,2026-06-04 14:35:00+05:30,2026-06-04 14:50:00+05:30,81.6998046875,69.6998046875,-12.0,SL,True,False,False
E1 Swing Structure,Nifty,CE,2026-06-09 14:50:00+05:30,2026-06-09 15:00:00+05:30,45.9255859375,33.9255859375,-12.0,SL,False,False,False
E1 Swing Structure,Nifty,CE,2026-06-10 09:45:00+05:30,2026-06-10 10:00:00+05:30,65.475,53.474999999999994,-12.0,SL,False,False,False
E1 Swing Structure,Nifty,CE,2026-06-12 13:30:00+05:30,2026-06-12 13:45:00+05:30,23.3001953125,58.3001953125,35.0,TP3,True,True,True
E1 Swing Structure,Nifty,CE,2026-06-12 14:10:00+05:30,2026-06-12 14:50:00+05:30,72.5748046875,107.5748046875,35.0,TP3,True,True,True
E1 Swing Structure,Nifty,CE,2026-06-15 10:45:00+05:30,2026-06-15 11:10:00+05:30,59.05,47.05,-12.0,SL,True,False,False
E1 Swing Structure,Nifty,CE,2026-06-16 09:25:00+05:30,2026-06-16 10:00:00+05:30,42.2,30.200000000000003,-12.0,SL,True,False,False
E1 Swing Structure,Nifty,CE,2026-06-16 10:35:00+05:30,2026-06-16 11:05:00+05:30,53.375390625,41.375390625,-12.0,SL,False,False,False
E1 Swing Structure,Nifty,CE,2026-06-16 13:35:00+05:30,2026-06-17 09:15:00+05:30,50.5251953125,38.5251953125,-12.0,SL,True,True,False
E1 Swing Structure,Nifty,CE,2026-06-17 09:45:00+05:30,2026-06-17 11:55:00+05:30,81.4505859375,73.075,-8.375585937499991,Engine SELL,True,True,False
E1 Swing Structure,Nifty,CE,2026-06-19 14:10:00+05:30,2026-06-19 14:20:00+05:30,36.4244140625,24.4244140625,-12.0,SL,False,False,False
E1 Swing Structure,Nifty,CE,2026-06-22 09:20:00+05:30,2026-06-22 09:35:00+05:30,47.199609375,35.199609375,-12.0,SL,False,False,False
E1 Swing Structure,Nifty,CE,2026-06-23 09:55:00+05:30,2026-06-23 10:25:00+05:30,66.425,54.425,-12.0,SL,False,False,False
E1 Swing Structure,Nifty,CE,2026-06-24 10:10:00+05:30,2026-06-24 11:05:00+05:30,73.0501953125,108.0501953125,35.0,TP3,True,True,True
E1 Swing Structure,Nifty,CE,2026-06-24 13:30:00+05:30,2026-06-24 13:55:00+05:30,144.27578125,132.27578125,-12.0,SL,True,False,False
E1 Swing Structure,Nifty,CE,2026-06-25 10:45:00+05:30,2026-06-25 11:05:00+05:30,71.72578125,59.72578125,-12.0,SL,False,False,False
E1 Swing Structure,Nifty,CE,2026-07-01 09:35:00+05:30,2026-07-01 10:20:00+05:30,50.425390625,85.425390625,35.00000000000001,TP3,True,True,True
E1 Swing Structure,Nifty,CE,2026-07-02 13:15:00+05:30,2026-07-02 13:35:00+05:30,62.425,50.425,-12.0,SL,False,False,False
E1 Swing Structure,Nifty,CE,2026-07-02 14:45:00+05:30,2026-07-02 15:15:00+05:30,75.000390625,63.000390624999994,-12.0,SL,False,False,False
E1 Swing Structure,Nifty,CE,2026-07-06 10:25:00+05:30,2026-07-06 13:50:00+05:30,63.65,63.0244140625,-0.6255859374999986,Engine SELL,True,True,False
E1 Swing Structure,Nifty,CE,2026-07-07 11:10:00+05:30,2026-07-07 12:15:00+05:30,62.4748046875,50.4748046875,-12.0,SL,False,False,False
E1 Swing Structure,Nifty,CE,2026-07-09 09:30:00+05:30,2026-07-09 10:35:00+05:30,61.7501953125,49.7501953125,-12.0,SL,True,True,False
E1 Swing Structure,Nifty,CE,2026-07-13 10:40:00+05:30,2026-07-13 10:55:00+05:30,93.7751953125,81.7751953125,-12.0,SL,False,False,False
E1 Swing Structure,Nifty,CE,2026-07-13 14:50:00+05:30,2026-07-13 15:00:00+05:30,140.7,128.7,-12.0,SL,False,False,False
E1 Swing Structure,Nifty,CE,2026-07-15 09:20:00+05:30,2026-07-15 11:10:00+05:30,61.475,49.475,-12.0,SL,True,False,False
E1 Swing Structure,Nifty,CE,2026-07-17 09:20:00+05:30,2026-07-17 10:15:00+05:30,41.2494140625,76.2494140625,34.99999999999999,TP3,True,True,True
E1 Swing Structure,Nifty,CE,2026-07-17 10:50:00+05:30,2026-07-17 11:10:00+05:30,70.874609375,58.874609375000006,-12.0,SL,False,False,False
