n,net,win,sl,tp1,avg,wr,days,tp1_days,min_score,members,tp2,tp3,lock
275,-164.85431640624995,130,10,10,-0.5994702414772726,47.27272727272727,58,40,2,E1+E3+E5+E7+E8+E14+E15+E21,18,28,True
273,-33.94929687499989,123,10,10,-0.1243563988095234,45.05494505494506,58,40,2,E1+E3+E5+E7+E8+E14+E15+E21,18,28,False
274,-182.04201171874993,129,10,10,-0.6643869040830289,47.08029197080292,58,40,2,E1+E3+E5+E7+E8+E14+E15+E21,20,35,True
273,-43.17429687499991,123,10,10,-0.15814760760073227,45.05494505494506,58,40,2,E1+E3+E5+E7+E8+E14+E15+E21,20,35,False
274,-135.14955078124996,131,12,10,-0.49324653569799254,47.81021897810219,58,40,2,E1+E3+E5+E7+E8+E14+E15+E21,20,35,True
273,-6.43722656249993,125,12,10,-0.023579584478021724,45.78754578754579,58,40,2,E1+E3+E5+E7+E8+E14+E15+E21,20,35,False
275,-138.88412109374997,141,8,8,-0.5050331676136363,51.272727272727266,58,47,2,E1+E3+E5+E7+E8+E14+E15+E21,16,28,True
273,-73.7287109374999,119,8,8,-0.27006853823260035,43.58974358974359,58,47,2,E1+E3+E5+E7+E8+E14+E15+E21,16,28,False
274,-194.57720703124994,129,9,10,-0.7101357920848538,47.08029197080292,58,40,2,E1+E3+E5+E7+E8+E14+E15+E21,20,30,True
273,-80.09449218749988,122,9,10,-0.29338641826923034,44.68864468864469,58,40,2,E1+E3+E5+E7+E8+E14+E15+E21,20,30,False
154,-31.410898437499945,79,10,10,-0.20396687297077887,51.298701298701296,57,34,2,E3+E7+E14+E15,18,28,True
153,52.858710937500106,74,10,10,0.34548177083333403,48.36601307189542,57,34,2,E3+E7+E14+E15,18,28,False
154,-35.910898437499945,79,10,10,-0.2331876521915581,51.298701298701296,57,34,2,E3+E7+E14+E15,20,35,True
153,61.7935156250001,74,10,10,0.4038791870915039,48.36601307189542,57,34,2,E3+E7+E14+E15,20,35,False
154,-33.63726562499996,80,12,10,-0.21842380275974002,51.94805194805194,57,34,2,E3+E7+E14+E15,20,35,True
153,60.067148437500066,75,12,10,0.39259574142156906,49.01960784313725,57,34,2,E3+E7+E14+E15,20,35,False
154,-13.564765625000014,86,8,8,-0.08808289366883126,55.84415584415584,57,41,2,E3+E7+E14+E15,16,28,True
153,32.922929687500044,72,8,8,0.21518254697712447,47.05882352941176,57,41,2,E3+E7+E14+E15,16,28,False
154,-52.011679687499964,79,9,10,-0.3377381797889608,51.298701298701296,57,34,2,E3+E7+E14+E15,20,30,True
153,37.69273437500007,74,9,10,0.24635774101307237,48.36601307189542,57,34,2,E3+E7+E14+E15,20,30,False
224,-145.20273437499992,103,10,10,-0.6482264927455353,45.982142857142854,58,40,2,E3+E7+E14+E1+E8,18,28,True
222,8.223046875000165,98,10,10,0.03704075168918993,44.14414414414414,58,40,2,E3+E7+E14+E1+E8,18,28,False
223,-164.89042968749993,102,10,10,-0.7394189672085199,45.73991031390135,58,40,2,E3+E7+E14+E1+E8,20,35,True
222,11.063242187500094,98,10,10,0.04983442426801844,44.14414414414414,58,40,2,E3+E7+E14+E1+E8,20,35,False
223,-138.18042968749992,104,12,10,-0.6196431824551566,46.63677130044843,58,40,2,E3+E7+E14+E1+E8,20,35,True
222,14.617851562500107,99,12,10,0.06584617820945994,44.5945945945946,58,40,2,E3+E7+E14+E1+E8,20,35,False
224,-108.27990234375002,113,8,8,-0.48339242117745546,50.44642857142857,58,45,2,E3+E7+E14+E1+E8,16,28,True
222,-44.62097656249988,93,8,8,-0.2009953899211706,41.891891891891895,58,45,2,E3+E7+E14+E1+E8,16,28,False
223,-174.39023437499995,101,9,10,-0.7820189882286993,45.2914798206278,58,40,2,E3+E7+E14+E1+E8,20,30,True
222,-32.19656249999987,96,9,10,-0.14502956081081023,43.24324324324324,58,40,2,E3+E7+E14+E1+E8,20,30,False
157,-30.918984374999937,81,10,10,-0.19693620621019067,51.59235668789809,57,33,2,E3+E7+E14+E15+E21,18,28,True
156,57.5525390625001,76,10,10,0.36892653245192375,48.717948717948715,57,33,2,E3+E7+E14+E15+E21,18,28,False
157,-35.41898437499994,81,10,10,-0.2255986265923563,51.59235668789809,57,33,2,E3+E7+E14+E15+E21,20,35,True
156,66.48734375000008,76,10,10,0.4262009214743595,48.717948717948715,57,33,2,E3+E7+E14+E15+E21,20,35,False
157,-33.145351562499954,82,12,10,-0.21111688893312072,52.22929936305732,57,33,2,E3+E7+E14+E15+E21,20,35,True
156,64.76097656250006,77,12,10,0.4151344651442312,49.358974358974365,57,33,2,E3+E7+E14+E15+E21,20,35,False
157,-17.783046875000025,87,8,8,-0.11326781449044603,55.4140127388535,57,41,2,E3+E7+E14+E15+E21,16,28,True
156,34.41156250000003,74,8,8,0.2205869391025643,47.43589743589743,57,41,2,E3+E7+E14+E15+E21,16,28,False
157,-51.519765624999955,81,9,10,-0.32815137340764305,51.59235668789809,57,33,2,E3+E7+E14+E15+E21,20,30,True
156,42.38656250000007,76,9,10,0.2717087339743594,48.717948717948715,57,33,2,E3+E7+E14+E15+E21,20,30,False
214,-113.14218749999995,108,10,10,-0.5287018107476633,50.467289719626166,57,34,2,E3+E7+E5+E14,18,28,True
214,-57.88855468749987,103,10,10,-0.2705072648948592,48.13084112149533,57,34,2,E3+E7+E5+E14,18,28,False
214,-117.64218749999993,108,10,10,-0.5497298481308408,50.467289719626166,57,34,2,E3+E7+E5+E14,20,35,True
214,-36.88855468749989,103,10,10,-0.17237642377336398,48.13084112149533,57,34,2,E3+E7+E5+E14,20,35,False
214,-79.66609374999996,109,12,10,-0.37227146612149514,50.93457943925234,57,34,2,E3+E7+E5+E14,20,35,True
214,-4.912460937499901,104,12,10,-0.022955424941588323,48.598130841121495,57,34,2,E3+E7+E5+E14,20,35,False
214,-105.61089843749997,114,8,8,-0.49350887120327086,53.271028037383175,57,42,2,E3+E7+E5+E14,16,28,True
214,-64.18511718749991,100,8,8,-0.2999304541471959,46.728971962616825,57,42,2,E3+E7+E5+E14,16,28,False
214,-133.51894531249994,107,9,10,-0.6239203051985979,50.0,57,34,2,E3+E7+E5+E14,20,30,True
214,-59.76531249999991,102,9,10,-0.27927716121495283,47.66355140186916,57,34,2,E3+E7+E5+E14,20,30,False
139,-122.57451171874999,68,10,10,-0.8818310195593524,48.92086330935252,54,37,3,E1+E3+E5+E7+E8+E14+E15+E21,18,28,True
135,-140.73843749999995,48,10,10,-1.0425069444444441,35.55555555555556,54,37,3,E1+E3+E5+E7+E8+E14+E15+E21,18,28,False
139,-118.07451171874999,68,10,10,-0.849456918839928,48.92086330935252,54,37,3,E1+E3+E5+E7+E8+E14+E15+E21,20,35,True
135,-107.89324218749994,48,10,10,-0.7992092013888884,35.55555555555556,54,37,3,E1+E3+E5+E7+E8+E14+E15+E21,20,35,False
137,-92.60009765624999,68,12,10,-0.6759131215784671,49.63503649635037,54,36,3,E1+E3+E5+E7+E8+E14+E15+E21,20,35,True
133,-99.72304687499995,49,12,10,-0.7497973449248116,36.84210526315789,54,36,3,E1+E3+E5+E7+E8+E14+E15+E21,20,35,False
142,-50.081367187500014,79,8,8,-0.35268568441901416,55.633802816901415,54,45,3,E1+E3+E5+E7+E8+E14+E15+E21,16,28,True
138,-148.00960937499997,46,8,8,-1.0725334012681158,33.33333333333333,54,45,3,E1+E3+E5+E7+E8+E14+E15+E21,16,28,False
140,-108.12392578125002,68,9,10,-0.7723137555803573,48.57142857142857,54,37,3,E1+E3+E5+E7+E8+E14+E15+E21,20,30,True
136,-135.33785156249996,47,9,10,-0.9951312614889704,34.55882352941176,54,37,3,E1+E3+E5+E7+E8+E14+E15+E21,20,30,False
46,-29.933769531249993,24,10,10,-0.6507341202445651,52.17391304347826,33,20,3,E3+E7+E14+E15,18,28,True
45,-72.6915625,13,10,10,-1.6153680555555556,28.888888888888886,33,20,3,E3+E7+E14+E15,18,28,False
45,-16.433769531249993,24,10,10,-0.3651948784722221,53.333333333333336,33,20,3,E3+E7+E14+E15,20,35,True
45,-44.6915625,13,10,10,-0.9931458333333334,28.888888888888886,33,20,3,E3+E7+E14+E15,20,35,False
45,-4.633378906250002,25,12,10,-0.10296397569444449,55.55555555555556,33,21,3,E3+E7+E14+E15,20,35,True
45,-54.32636718750001,13,12,10,-1.207252604166667,28.888888888888886,33,21,3,E3+E7+E14+E15,20,35,False
46,28.361816406250014,29,8,8,0.6165612262228264,63.04347826086957,33,25,3,E3+E7+E14+E15,16,28,True
45,-74.3051953125,11,8,8,-1.6512265625,24.444444444444443,33,25,3,E3+E7+E14+E15,16,28,False
45,-7.988574218750003,24,9,10,-0.17752387152777785,53.333333333333336,33,20,3,E3+E7+E14+E15,20,30,True
45,-65.36117187500001,12,9,10,-1.4524704861111113,26.666666666666668,33,20,3,E3+E7+E14+E15,20,30,False
94,2.5821484375000168,52,10,10,0.027469664228723583,55.319148936170215,48,32,3,E3+E7+E14+E1+E8,18,28,True
90,60.74968750000001,34,10,10,0.6749965277777779,37.77777777777778,48,32,3,E3+E7+E14+E1+E8,18,28,False
94,-2.4880468749999807,52,10,10,-0.026468583776595538,55.319148936170215,48,32,3,E3+E7+E14+E1+E8,20,35,True
90,105.32832031250003,34,10,10,1.1703146701388891,37.77777777777778,48,32,3,E3+E7+E14+E1+E8,20,35,False
94,3.907539062500007,54,12,10,0.041569564494680925,57.446808510638306,48,32,3,E3+E7+E14+E1+E8,20,35,True
90,85.289296875,35,12,10,0.9476588541666667,38.88888888888889,48,32,3,E3+E7+E14+E1+E8,20,35,False
95,36.91019531250001,58,8,8,0.3885283717105264,61.05263157894737,48,39,3,E3+E7+E14+E1+E8,16,28,True
92,20.738906250000007,30,8,8,0.2254228940217392,32.608695652173914,48,39,3,E3+E7+E14+E1+E8,16,28,False
95,-3.0374609375000077,51,9,10,-0.03197327302631587,53.68421052631579,48,32,3,E3+E7+E14+E1+E8,20,30,True
91,27.31488281250001,32,9,10,0.30016354739011,35.16483516483517,48,32,3,E3+E7+E14+E1+E8,20,30,False
49,-7.273378906249974,27,10,10,-0.14843630420918313,55.10204081632652,35,20,3,E3+E7+E14+E15+E21,18,28,True
49,-18.55519531249999,18,10,10,-0.37867745535714264,36.734693877551024,35,20,3,E3+E7+E14+E15+E21,18,28,False
49,-0.27337890624997385,27,10,10,-0.005579161352040282,55.10204081632652,35,20,3,E3+E7+E14+E15+E21,20,35,True
49,16.44480468750001,18,10,10,0.33560825892857166,36.734693877551024,35,20,3,E3+E7+E14+E15+E21,20,35,False
49,7.18544921875003,28,12,10,0.14664182079081695,57.14285714285714,35,20,3,E3+E7+E14+E15+E21,20,35,True
49,19.468437500000014,19,12,10,0.3973150510204085,38.775510204081634,35,20,3,E3+E7+E14+E15+E21,20,35,False
49,31.296621093750026,30,8,8,0.638706552933674,61.224489795918366,35,24,3,E3+E7+E14+E15+E21,16,28,True
49,-11.9101953125,16,8,8,-0.2430652104591837,32.6530612244898,35,24,3,E3+E7+E14+E15+E21,16,28,False
49,4.266425781250014,27,9,10,0.08706991390306151,55.10204081632652,35,20,3,E3+E7+E14+E15+E21,20,30,True
49,-10.6301953125,17,9,10,-0.21694276147959182,34.69387755102041,35,20,3,E3+E7+E14+E15+E21,20,30,False
72,-16.80396484375001,36,10,10,-0.23338840060763902,50.0,39,24,3,E3+E7+E5+E14,18,28,True
70,-45.53539062500003,23,10,10,-0.6505055803571433,32.857142857142854,39,24,3,E3+E7+E5+E14,18,28,False
72,-5.3741601562500065,36,10,10,-0.07464111328125009,50.0,39,24,3,E3+E7+E5+E14,20,35,True
