DATE,EXPIRY,OPTION TYPE,STRIKE PRICE,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL
2025-06-20,2025-07-31,CE,25450.0,233.8,319.65,212.0,308.1,303.7,308.1,18450,75,4747.47,12225.0,1125.0,NIFTY
2025-06-23,2025-07-31,CE,25450.0,267.05,298.45,213.55,259.0,254.9,259.0,35100,75,9017.16,14700.0,2475.0,NIFTY
2025-06-24,2025-07-31,CE,25450.0,333.05,412.8,273.45,280.9,287.65,280.9,60750,75,15666.65,17100.0,2400.0,NIFTY
2025-06-25,2025-07-31,CE,25450.0,296.1,358.0,296.1,339.2,341.35,339.2,26325,75,6787.38,21000.0,3900.0,NIFTY
2025-06-26,2025-07-31,CE,25450.0,380.0,490.0,368.9,471.4,479.9,471.4,139200,75,36025.39,30450.0,9450.0,NIFTY
2025-06-27,2025-07-31,CE,25450.0,534.05,563.0,485.0,546.4,546.85,546.4,44550,75,11571.87,27750.0,-2700.0,NIFTY
2025-06-30,2025-07-31,CE,25450.0,546.4,556.0,434.4,455.3,456.0,455.3,70125,75,18174.4,52125.0,24375.0,NIFTY
2025-07-01,2025-07-31,CE,25450.0,466.9,489.95,436.65,463.35,462.2,463.35,35250,75,9135.22,50025.0,-2100.0,NIFTY
2025-07-02,2025-07-31,CE,25450.0,472.0,490.0,360.0,390.8,388.3,390.8,176550,75,45643.16,81600.0,31575.0,NIFTY
2025-07-03,2025-07-31,CE,25450.0,400.05,455.0,355.0,362.3,355.0,362.3,254550,75,65790.54,85575.0,3975.0,NIFTY
2025-07-04,2025-07-31,CE,25450.0,355.65,380.3,305.0,371.75,371.65,371.75,272550,75,70317.08,100800.0,15225.0,NIFTY
2025-07-07,2025-07-31,CE,25450.0,371.75,385.0,329.35,358.4,361.0,358.4,300000,75,77419.69,122775.0,21975.0,NIFTY
2025-07-08,2025-07-31,CE,25450.0,350.0,399.4,332.0,386.05,391.6,386.05,331350,75,85510.92,129675.0,6900.0,NIFTY
2025-07-09,2025-07-31,CE,25450.0,377.6,391.0,321.4,336.85,321.4,336.85,281550,75,72641.57,139800.0,10125.0,NIFTY
2025-07-10,2025-07-31,CE,25450.0,323.75,327.6,241.0,249.2,242.3,249.2,533100,75,137154.41,209400.0,69600.0,NIFTY
2025-07-11,2025-07-31,CE,25450.0,236.6,236.6,144.3,151.35,146.0,151.35,448800,75,114999.11,209175.0,-225.0,NIFTY
2025-07-14,2025-07-31,CE,25450.0,146.0,146.0,98.3,120.9,119.25,120.9,561375,75,143511.87,237000.0,27825.0,NIFTY
2025-07-15,2025-07-31,CE,25450.0,121.0,160.35,107.4,133.7,138.95,133.7,275100,75,70380.93,257400.0,20400.0,NIFTY
2025-07-16,2025-07-31,CE,25450.0,135.0,135.0,94.95,114.85,112.15,114.85,622200,75,159027.25,238500.0,-18900.0,NIFTY
2025-07-17,2025-07-31,CE,25450.0,85.05,114.95,75.0,82.05,81.0,82.05,625050,75,159653.61,312450.0,73950.0,NIFTY
2025-07-18,2025-07-31,CE,25450.0,81.15,81.55,47.3,53.4,54.3,53.4,1707075,75,435445.62,358500.0,46050.0,NIFTY
2025-07-21,2025-07-31,CE,25450.0,54.3,62.2,30.4,53.0,53.3,53.0,1940250,75,494718.11,430275.0,71775.0,NIFTY
2025-07-22,2025-07-31,CE,25450.0,55.4,63.65,32.1,34.15,33.55,34.15,2473950,75,630695.91,482925.0,52650.0,NIFTY
2025-07-23,2025-07-31,CE,25450.0,37.6,57.6,32.3,56.1,55.1,56.1,5392350,75,1374844.89,570000.0,87075.0,NIFTY
2025-07-24,2025-07-31,CE,25450.0,56.55,59.7,21.5,23.25,22.4,23.25,9204975,75,2345596.29,1225275.0,655275.0,NIFTY
2025-07-25,2025-07-31,CE,25450.0,19.65,19.65,9.3,10.05,10.0,10.05,32571150,75,8293189.97,2741400.0,1516125.0,NIFTY
2025-07-28,2025-07-31,CE,25450.0,9.4,10.65,5.0,5.35,5.35,5.35,33008400,75,8402926.12,2997075.0,255675.0,NIFTY
2025-07-29,2025-07-31,CE,25450.0,3.8,5.75,2.0,2.65,2.15,2.65,35094525,75,8932996.88,2355000.0,-642075.0,NIFTY
2025-07-30,2025-07-31,CE,25450.0,2.25,2.25,0.85,1.35,1.0,1.35,30126900,75,7667769.61,3118125.0,763125.0,NIFTY
2025-07-31,2025-07-31,CE,25450.0,1.05,1.55,0.05,0.1,0.05,24768.35,44304525,75,11275806.1,1777575.0,-1340550.0,NIFTY
