DATE,EXPIRY,OPTION TYPE,STRIKE PRICE,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL
2025-06-20,2025-07-31,PE,25350.0,620.0,648.6,485.0,502.25,505.0,502.25,12825,75,3318.76,21375.0,75.0,NIFTY
2025-06-23,2025-07-31,PE,25350.0,550.9,650.25,510.85,543.8,543.8,663.45,11925,75,3092.42,20850.0,-525.0,NIFTY
2025-06-24,2025-07-31,PE,25350.0,416.95,509.5,357.95,492.6,475.35,492.6,80625,75,20783.33,46725.0,25875.0,NIFTY
2025-06-25,2025-07-31,PE,25350.0,432.9,433.65,370.55,385.95,384.0,385.95,33225,75,8553.59,52950.0,6225.0,NIFTY
2025-06-26,2025-07-31,PE,25350.0,361.95,368.6,258.65,265.15,266.15,265.15,177600,75,45585.08,76575.0,23625.0,NIFTY
2025-06-27,2025-07-31,PE,25350.0,245.75,263.0,206.65,210.4,207.9,210.4,105600,75,27012.84,62850.0,-13725.0,NIFTY
2025-06-30,2025-07-31,PE,25350.0,208.0,264.7,201.4,244.15,242.3,244.15,155625,75,39824.24,87075.0,24225.0,NIFTY
2025-07-01,2025-07-31,PE,25350.0,239.0,252.6,213.85,223.35,222.9,223.35,100725,75,25760.98,103725.0,16650.0,NIFTY
2025-07-02,2025-07-31,PE,25350.0,214.25,281.2,201.6,253.25,256.0,253.25,131175,75,33579.4,95175.0,-8550.0,NIFTY
2025-07-03,2025-07-31,PE,25350.0,232.95,274.25,199.8,257.65,260.85,257.65,126825,75,32444.58,103500.0,8325.0,NIFTY
2025-07-04,2025-07-31,PE,25350.0,274.15,302.85,232.45,237.3,235.35,237.3,267975,75,68658.23,124650.0,21150.0,NIFTY
2025-07-07,2025-07-31,PE,25350.0,266.15,266.15,220.35,228.9,227.7,228.9,151950,75,38871.49,111150.0,-13500.0,NIFTY
2025-07-08,2025-07-31,PE,25350.0,235.95,236.1,180.15,186.15,180.15,186.15,132600,75,33891.42,120750.0,9600.0,NIFTY
2025-07-09,2025-07-31,PE,25350.0,187.8,203.5,162.15,189.55,194.8,189.55,133275,75,34027.12,139800.0,19050.0,NIFTY
2025-07-10,2025-07-31,PE,25350.0,184.7,239.65,182.0,227.05,230.95,227.05,244575,75,62538.68,157650.0,17850.0,NIFTY
2025-07-11,2025-07-31,PE,25350.0,270.05,331.0,235.65,316.35,328.4,316.35,375600,75,96264.55,142275.0,-15375.0,NIFTY
2025-07-14,2025-07-31,PE,25350.0,329.9,399.5,321.2,337.0,331.6,337.0,120225,75,30913.85,126600.0,-15675.0,NIFTY
2025-07-15,2025-07-31,PE,25350.0,315.95,334.1,242.35,252.7,254.25,252.7,100275,75,25691.57,143100.0,16500.0,NIFTY
2025-07-16,2025-07-31,PE,25350.0,276.25,311.0,234.65,252.95,257.8,252.95,110550,75,28316.1,135000.0,-8100.0,NIFTY
2025-07-17,2025-07-31,PE,25350.0,249.95,298.7,238.0,285.65,294.95,285.65,136275,75,34907.85,132525.0,-2475.0,NIFTY
2025-07-18,2025-07-31,PE,25350.0,294.2,429.3,289.3,385.65,389.8,385.65,116700,75,30009.15,113325.0,-19200.0,NIFTY
2025-07-21,2025-07-31,PE,25350.0,407.05,465.9,288.55,297.5,289.15,297.5,168600,75,43361.72,101475.0,-11850.0,NIFTY
2025-07-22,2025-07-31,PE,25350.0,264.1,331.0,244.2,303.9,305.5,303.9,211125,75,54128.26,100425.0,-1050.0,NIFTY
2025-07-23,2025-07-31,PE,25350.0,258.5,286.85,179.3,182.05,182.55,182.05,588825,75,150520.92,215325.0,114900.0,NIFTY
2025-07-24,2025-07-31,PE,25350.0,173.85,338.0,170.65,291.15,299.8,291.15,1050675,75,268899.43,195675.0,-19650.0,NIFTY
2025-07-25,2025-07-31,PE,25350.0,369.8,532.8,358.4,510.2,514.6,510.2,462975,75,119472.56,134400.0,-61275.0,NIFTY
2025-07-28,2025-07-31,PE,25350.0,575.0,683.45,438.5,644.4,645.85,644.4,95175,75,24652.15,111000.0,-23400.0,NIFTY
2025-07-29,2025-07-31,PE,25350.0,694.3,705.65,497.25,512.95,508.25,512.95,33375,75,8661.4,97500.0,-13500.0,NIFTY
2025-07-30,2025-07-31,PE,25350.0,510.0,556.85,444.4,480.4,490.8,480.4,113550,75,29345.32,80775.0,-16725.0,NIFTY
2025-07-31,2025-07-31,PE,25350.0,661.85,715.25,381.0,562.95,582.65,24768.35,133200,75,34496.5,51375.0,-29400.0,NIFTY
