min_score,sl,req7,req3,mba,n,ok10,pct,net,avg
5,30,True,True,0.0,12,11,91.7,80.0,6.67
5,30,True,True,0.35,12,11,91.7,80.0,6.67
5,30,True,True,0.5,12,11,91.7,80.0,6.67
5,30,True,True,0.7,12,11,91.7,80.0,6.67
5,30,True,False,0.0,12,11,91.7,80.0,6.67
5,30,True,False,0.35,12,11,91.7,80.0,6.67
5,30,True,False,0.5,12,11,91.7,80.0,6.67
5,30,True,False,0.7,12,11,91.7,80.0,6.67
3,30,True,True,0.0,27,23,85.2,110.0,4.07
3,30,True,True,0.35,27,23,85.2,110.0,4.07
3,30,True,True,0.5,27,23,85.2,110.0,4.07
3,30,True,True,0.7,24,20,83.3,80.0,3.33
4,30,True,True,0.0,24,20,83.3,80.0,3.33
4,30,True,True,0.35,24,20,83.3,80.0,3.33
4,30,True,True,0.5,24,20,83.3,80.0,3.33
4,30,True,True,0.7,24,20,83.3,80.0,3.33
4,30,True,False,0.0,24,20,83.3,80.0,3.33
4,30,True,False,0.35,24,20,83.3,80.0,3.33
4,30,True,False,0.5,24,20,83.3,80.0,3.33
4,30,True,False,0.7,24,20,83.3,80.0,3.33
3,30,False,True,0.5,48,38,79.2,80.0,1.67
3,30,False,True,0.7,33,26,78.8,50.0,1.52
3,18,True,True,0.0,27,21,77.8,102.0,3.78
3,18,True,True,0.35,27,21,77.8,102.0,3.78
3,18,True,True,0.5,27,21,77.8,102.0,3.78
3,20,True,True,0.0,27,21,77.8,90.0,3.33
3,20,True,True,0.35,27,21,77.8,90.0,3.33
3,20,True,True,0.5,27,21,77.8,90.0,3.33
3,25,True,True,0.0,27,21,77.8,60.0,2.22
3,25,True,True,0.35,27,21,77.8,60.0,2.22
3,25,True,True,0.5,27,21,77.8,60.0,2.22
4,30,False,True,0.35,30,23,76.7,20.0,0.67
4,30,False,True,0.5,30,23,76.7,20.0,0.67
4,30,False,False,0.35,30,23,76.7,20.0,0.67
4,30,False,False,0.5,30,23,76.7,20.0,0.67
5,30,False,True,0.0,17,13,76.5,10.0,0.59
5,30,False,True,0.35,17,13,76.5,10.0,0.59
5,30,False,True,0.5,17,13,76.5,10.0,0.59
5,30,False,False,0.0,17,13,76.5,10.0,0.59
5,30,False,False,0.35,17,13,76.5,10.0,0.59
5,30,False,False,0.5,17,13,76.5,10.0,0.59
3,18,True,True,0.7,24,18,75.0,72.0,3.0
4,18,True,True,0.0,24,18,75.0,72.0,3.0
4,18,True,True,0.35,24,18,75.0,72.0,3.0
4,18,True,True,0.5,24,18,75.0,72.0,3.0
4,18,True,True,0.7,24,18,75.0,72.0,3.0
4,18,True,False,0.0,24,18,75.0,72.0,3.0
4,18,True,False,0.35,24,18,75.0,72.0,3.0
4,18,True,False,0.5,24,18,75.0,72.0,3.0
4,18,True,False,0.7,24,18,75.0,72.0,3.0
3,20,True,True,0.7,24,18,75.0,60.0,2.5
4,20,True,True,0.0,24,18,75.0,60.0,2.5
4,20,True,True,0.35,24,18,75.0,60.0,2.5
4,20,True,True,0.5,24,18,75.0,60.0,2.5
4,20,True,True,0.7,24,18,75.0,60.0,2.5
4,20,True,False,0.0,24,18,75.0,60.0,2.5
4,20,True,False,0.35,24,18,75.0,60.0,2.5
4,20,True,False,0.5,24,18,75.0,60.0,2.5
4,20,True,False,0.7,24,18,75.0,60.0,2.5
5,18,True,True,0.0,12,9,75.0,36.0,3.0
